"Position","Mood:Tense","Subject","Infinitive","Front","Back"
"0","Indicativo:Presente","io","ABITARE","(adesso) io ABITARE","(io) abito"
"0","Indicativo:Presente","tu","ABITARE","(adesso) tu ABITARE","(tu) abiti"
"0","Indicativo:Presente","lei","ABITARE","(adesso) lei ABITARE","(lei) abita"
"0","Indicativo:Presente","noi","ABITARE","(adesso) noi ABITARE","(noi) abitiamo"
"0","Indicativo:Presente","voi","ABITARE","(adesso) voi ABITARE","(voi) abitate"
"0","Indicativo:Presente","loro","ABITARE","(adesso) loro ABITARE","(loro) abitano"
"0","Indicativo:Imperfetto","loro","ABITARE","(ieri) loro ABITARE","(loro) abitavano"
"0","Indicativo:Passato:remoto","io","ABITARE","(molto tempo fa) io ABITARE","(io) abitai"
"0","Indicativo:Passato:remoto","lei","ABITARE","(molto tempo fa) lei ABITARE","(lei) abitò"
"0","Indicativo:Futuro:semplice","lei","ABITARE","(domani) lei ABITARE","(lei) abiterà"
"0","Indicativo:Passato:prossimo","io","ABITARE","(perfetto) io ABITARE","(io) ho abitato"
"0","Indicativo:Trapassato:prossimo","lui","ABITARE","(perchè ieri) lui ABITARE","(lui) aveva abitato"
"0","Congiuntivo:Presente","che io","ABITARE","che io ABITARE","(che io) abiti"
"0","Congiuntivo:Presente","che loro","ABITARE","che loro ABITARE","(che loro) abitino"
"0","Congiuntivo:Passato","che io","ABITARE","(perfetto) che io ABITARE","(che io) abbia abitato"
"0","Congiuntivo:Passato","che noi","ABITARE","(perfetto) che noi ABITARE","(che noi) abbiamo abitato"
"0","Condizionale:Presente","io","ABITARE","se (presente) io ABITARE","se (io) abiterei"
"0","Condizionale:Presente","lei","ABITARE","se (presente) lei ABITARE","se (lei) abiterebbe"
"0","Condizionale:Passato","loro","ABITARE","se (passato) loro ABITARE","se (loro) avrebbero abitato"
"0","Gerundio:Presente","... ","ABITARE","(...ndo) ...  ABITARE","(... ) abitando"
"0","Gerundio:Passato","avendo","ABITARE","(passato ...ndo) ABITARE","(avendo) abitato"
"0","Participio:Presente","... ","ABITARE","(aggetivo) ...  ABITARE","(... ) abitante"
"0","Imperativo:Presente","... ","ABITARE","(per favore) ...  ABITARE","(... ) abita"
"1","Indicativo:Presente","io","ACCOMODARSI","(adesso) io ACCOMODARSI","(io) mi accomodo"
"1","Indicativo:Presente","tu","ACCOMODARSI","(adesso) tu ACCOMODARSI","(tu) ti accomodi"
"1","Indicativo:Presente","lei","ACCOMODARSI","(adesso) lei ACCOMODARSI","(lei) si accomoda"
"1","Indicativo:Presente","noi","ACCOMODARSI","(adesso) noi ACCOMODARSI","(noi) ci accomodiamo"
"1","Indicativo:Presente","voi","ACCOMODARSI","(adesso) voi ACCOMODARSI","(voi) vi accomodate"
"1","Indicativo:Presente","loro","ACCOMODARSI","(adesso) loro ACCOMODARSI","(loro) si accomodano"
"1","Indicativo:Imperfetto","loro","ACCOMODARSI","(ieri) loro ACCOMODARSI","(loro) si accomodavano"
"1","Indicativo:Passato:remoto","io","ACCOMODARSI","(molto tempo fa) io ACCOMODARSI","(io) mi accomodai"
"1","Indicativo:Passato:remoto","tu","ACCOMODARSI","(molto tempo fa) tu ACCOMODARSI","(tu) ti accomodasti"
"1","Indicativo:Futuro:semplice","tu","ACCOMODARSI","(domani) tu ACCOMODARSI","(tu) ti accomoderai"
"1","Indicativo:Passato:prossimo","tu","ACCOMODARSI","(perfetto) tu ACCOMODARSI","(tu) ti sei accomodato"
"1","Indicativo:Trapassato:prossimo","lui","ACCOMODARSI","(perchè ieri) lui ACCOMODARSI","(lui) si era accomodato"
"1","Congiuntivo:Presente","che io","ACCOMODARSI","che io ACCOMODARSI","(che io) mi accomodi"
"1","Congiuntivo:Presente","che lei","ACCOMODARSI","che lei ACCOMODARSI","(che lei) si accomodi"
"1","Congiuntivo:Passato","che io","ACCOMODARSI","(perfetto) che io ACCOMODARSI","(che io) mi sia accomodato"
"1","Congiuntivo:Passato","che loro","ACCOMODARSI","(perfetto) che loro ACCOMODARSI","(che loro) si siano accomodati"
"1","Condizionale:Presente","io","ACCOMODARSI","se (presente) io ACCOMODARSI","se (io) mi accomoderei"
"1","Condizionale:Presente","voi","ACCOMODARSI","se (presente) voi ACCOMODARSI","se (voi) vi accomodereste"
"1","Condizionale:Passato","voi","ACCOMODARSI","se (passato) voi ACCOMODARSI","se (voi) vi sareste accomodati"
"1","Gerundio:Presente","... ","ACCOMODARSI","(...ndo) ...  ACCOMODARSI","(... ) accomodandosi"
"1","Gerundio:Passato","essendosi","ACCOMODARSI","(passato ...ndo) ACCOMODARSI","(essendosi) accomodato"
"1","Participio:Presente","... ","ACCOMODARSI","(aggetivo) ...  ACCOMODARSI","(... ) accomodantesi"
"1","Imperativo:Presente","... ","ACCOMODARSI","(per favore) ...  ACCOMODARSI","(... ) accomodati"
"2","Indicativo:Presente","io","ADDORMENTARSI","(adesso) io ADDORMENTARSI","(io) mi addormento"
"2","Indicativo:Presente","tu","ADDORMENTARSI","(adesso) tu ADDORMENTARSI","(tu) ti addormenti"
"2","Indicativo:Presente","lui","ADDORMENTARSI","(adesso) lui ADDORMENTARSI","(lui) si addormenta"
"2","Indicativo:Presente","noi","ADDORMENTARSI","(adesso) noi ADDORMENTARSI","(noi) ci addormentiamo"
"2","Indicativo:Presente","voi","ADDORMENTARSI","(adesso) voi ADDORMENTARSI","(voi) vi addormentate"
"2","Indicativo:Presente","loro","ADDORMENTARSI","(adesso) loro ADDORMENTARSI","(loro) si addormentano"
"2","Indicativo:Imperfetto","voi","ADDORMENTARSI","(ieri) voi ADDORMENTARSI","(voi) vi addormentavate"
"2","Indicativo:Passato:remoto","io","ADDORMENTARSI","(molto tempo fa) io ADDORMENTARSI","(io) mi addormentai"
"2","Indicativo:Passato:remoto","noi","ADDORMENTARSI","(molto tempo fa) noi ADDORMENTARSI","(noi) ci addormentammo"
"2","Indicativo:Futuro:semplice","voi","ADDORMENTARSI","(domani) voi ADDORMENTARSI","(voi) vi addormenterete"
"2","Indicativo:Passato:prossimo","lei","ADDORMENTARSI","(perfetto) lei ADDORMENTARSI","(lei) si è addormentata"
"2","Indicativo:Trapassato:prossimo","lei","ADDORMENTARSI","(perchè ieri) lei ADDORMENTARSI","(lei) si era addormentata"
"2","Congiuntivo:Presente","che io","ADDORMENTARSI","che io ADDORMENTARSI","(che io) mi addormenti"
"2","Congiuntivo:Presente","che lei","ADDORMENTARSI","che lei ADDORMENTARSI","(che lei) si addormenti"
"2","Congiuntivo:Passato","che io","ADDORMENTARSI","(perfetto) che io ADDORMENTARSI","(che io) mi sia addormentato"
"2","Congiuntivo:Passato","che loro","ADDORMENTARSI","(perfetto) che loro ADDORMENTARSI","(che loro) si siano addormentate"
"2","Condizionale:Presente","io","ADDORMENTARSI","se (presente) io ADDORMENTARSI","se (io) mi addormenterei"
"2","Condizionale:Presente","lui","ADDORMENTARSI","se (presente) lui ADDORMENTARSI","se (lui) si addormenterebbe"
"2","Condizionale:Passato","noi","ADDORMENTARSI","se (passato) noi ADDORMENTARSI","se (noi) ci saremmo addormentati"
"2","Gerundio:Presente","... ","ADDORMENTARSI","(...ndo) ...  ADDORMENTARSI","(... ) addormentandosi"
"2","Gerundio:Passato","essendosi","ADDORMENTARSI","(passato ...ndo) ADDORMENTARSI","(essendosi) addormentato"
"2","Participio:Presente","... ","ADDORMENTARSI","(aggetivo) ...  ADDORMENTARSI","(... ) addormentantesi"
"2","Imperativo:Presente","... ","ADDORMENTARSI","(per favore) ...  ADDORMENTARSI","(... ) addormentati"
"3","Indicativo:Presente","io","AIUTARE","(adesso) io AIUTARE","(io) aiuto"
"3","Indicativo:Presente","tu","AIUTARE","(adesso) tu AIUTARE","(tu) aiuti"
"3","Indicativo:Presente","lui","AIUTARE","(adesso) lui AIUTARE","(lui) aiuta"
"3","Indicativo:Presente","noi","AIUTARE","(adesso) noi AIUTARE","(noi) aiutiamo"
"3","Indicativo:Presente","voi","AIUTARE","(adesso) voi AIUTARE","(voi) aiutate"
"3","Indicativo:Presente","loro","AIUTARE","(adesso) loro AIUTARE","(loro) aiutano"
"3","Indicativo:Imperfetto","tu","AIUTARE","(ieri) tu AIUTARE","(tu) aiutavi"
"3","Indicativo:Passato:remoto","io","AIUTARE","(molto tempo fa) io AIUTARE","(io) aiutai"
"3","Indicativo:Passato:remoto","voi","AIUTARE","(molto tempo fa) voi AIUTARE","(voi) aiutaste"
