(adesso) io ESSERE,(io) sono
(adesso) tu ESSERE,(tu) sei
(adesso) lui ESSERE,(lui) è
(adesso) noi ESSERE,(noi) siamo
(adesso) voi ESSERE,(voi) siete
(adesso) loro ESSERE,(loro) sono
(ieri) tu ESSERE,(tu) eri
(molto tempo fa) io ESSERE,(io) fui
(molto tempo fa) voi ESSERE,(voi) foste
(domani) io ESSERE,(io) sarò
(finito) loro ESSERE,(loro) sono state
(perchè ieri) io ESSERE,(io) ero stato
(passato) se noi ESSERE,se (noi) saremmo stati
(...ndo) ...  ESSERE,(... ) essendo
(passato ...ndo) ESSERE,(essendo) stata
(aggetivo) ...  ESSERE,(... ) ente
(per favore) ...  ESSERE,(... ) sii
(adesso) io AVERE,(io) ho
(adesso) tu AVERE,(tu) hai
(adesso) lui AVERE,(lui) ha
(adesso) noi AVERE,(noi) abbiamo
(adesso) voi AVERE,(voi) avete
(adesso) loro AVERE,(loro) hanno
(ieri) loro AVERE,(loro) avevano
(molto tempo fa) io AVERE,(io) ebbi
(molto tempo fa) tu AVERE,(tu) avesti
(domani) noi AVERE,(noi) avremo
(finito) lei AVERE,(lei) ha avuto
(perchè ieri) loro AVERE,(loro) avevano avuto
(passato) se tu AVERE,se (tu) avresti avuto
(...ndo) ...  AVERE,(... ) avendo
(passato ...ndo) AVERE,(avendo) avuto
(aggetivo) ...  AVERE,(... ) avente
(per favore) ...  AVERE,(... ) abbi
(adesso) io FARE,(io) faccio
(adesso) tu FARE,(tu) fai
(adesso) lui FARE,(lui) fa
(adesso) noi FARE,(noi) facciamo
(adesso) voi FARE,(voi) fate
(adesso) loro FARE,(loro) fanno
(ieri) noi FARE,(noi) facevamo
(molto tempo fa) io FARE,(io) feci
(molto tempo fa) voi FARE,(voi) faceste
(domani) tu FARE,(tu) farai
(finito) lei FARE,(lei) ha fatto
(perchè ieri) io FARE,(io) avevo fatto
(passato) se noi FARE,se (noi) avremmo fatto
(...ndo) ...  FARE,(... ) facendo
(passato ...ndo) FARE,(avendo) fatto
(aggetivo) ...  FARE,(... ) facente
(per favore) ...  FARE,(... ) fa'/ai
(adesso) io ANDARE,(io) vado
(adesso) tu ANDARE,(tu) vai
(adesso) lui ANDARE,(lui) va
(adesso) noi ANDARE,(noi) andiamo
(adesso) voi ANDARE,(voi) andate
(adesso) loro ANDARE,(loro) vanno
(ieri) noi ANDARE,(noi) andavamo
(molto tempo fa) io ANDARE,(io) andai
(molto tempo fa) tu ANDARE,(tu) andasti
